,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Accuracy,0.12,0.23,0.135,0.205,0.285,0.39,0.32,0.405,0.395,0.325,0.345,0.375,0.375,0.41,0.385,0.405,0.41,0.44,0.4,0.4,0.38,0.405,0.38,0.415,0.465,0.47,0.415,0.43,0.465,0.48,0.455,0.445,0.45,0.44,0.46,0.485,0.51,0.48,0.52,0.46,0.47,0.5,0.45,0.495,0.48,0.45,0.48,0.5,0.475,0.49,0.51,0.505,0.49,0.5,0.49,0.525,0.535,0.53,0.5,0.515,0.515,0.49,0.465,0.5,0.47,0.5,0.53,0.53,0.485,0.535,0.54,0.545,0.5,0.495,0.55,0.57,0.53,0.525,0.515,0.515,0.53,0.495,0.55,0.55,0.505,0.545,0.535,0.555,0.545,0.535,0.56,0.545,0.465,0.48,0.51,0.515,0.525,0.53,0.56,0.545
F1,0.043187026264762916,0.1010641221057434,0.05776290614330859,0.13832587300479435,0.17261164274322172,0.21234968734968737,0.24002011613542157,0.2828528294081563,0.23879811986819233,0.22524560211493969,0.21383404960762153,0.2299846796393843,0.21499700755266368,0.27026171641699825,0.2588802585326915,0.285153740763201,0.2720117788142697,0.3029806613139947,0.29649508324201457,0.3327949443891473,0.31542676595561653,0.34544708273278507,0.3031145219271439,0.3468474747747019,0.37418095231643184,0.37192253634198824,0.33576424416714096,0.3317120495046971,0.3609184038673714,0.34618851097284925,0.3709406682694549,0.34804613429279985,0.34716814260729334,0.36777718693944766,0.3428071617348103,0.4048025834859201,0.4004301654322614,0.3801325985495355,0.46314402401465415,0.3906623528402264,0.3188494734903743,0.36709351777312943,0.342515378929546,0.40060978399290104,0.41844074393979663,0.36026527112345735,0.3929227721587747,0.4056949547391603,0.3897106753922332,0.42773737631893655,0.4280413811472843,0.4364205858688355,0.4000852030072772,0.39017701793373916,0.42694496359341977,0.41811227414942587,0.4741190498930011,0.4392628392446129,0.3623394125967243,0.41616167964207174,0.43684962724811927,0.41829470765006627,0.37740444260657835,0.3971679261291887,0.3695838532301756,0.39257747010685107,0.46188797583456775,0.455781543461194,0.43535115209849157,0.4511494942283134,0.4307209399211494,0.44063897514313266,0.39193234086938933,0.4030816405816406,0.4548824204706255,0.48965028807189426,0.44387974650366596,0.4286638046174502,0.4384386820867709,0.44434088715158615,0.43419162536809597,0.4505466788128736,0.48177697925057905,0.4799338916256317,0.42606783736017717,0.4832557587841236,0.4509310360051077,0.46839504761346556,0.46663747848453013,0.46679194216507647,0.46077271151345234,0.4780839637161476,0.40281725538943003,0.3563245240368375,0.3919926447864072,0.42296323864951313,0.4213727568919462,0.4183720845375722,0.4426900325878516,0.41547555306638073
